state,avg_price,min_price,max_price
Hawaii,1378656.0,18000.0,59500000
Virgin Islands,1300710.0,92000.0,16999000
California,1058103.0,11000.0,165000000
New York,970224.0,14900.0,169000000
Montana,913839.0,19900.0,30000000
Colorado,905594.0,18000.0,55000000
Utah,902622.0,25000.0,48000000
District of Columbia,886777.0,25000.0,20000000
Massachusetts,746495.0,24750.0,30000000
Nevada,734395.0,32000.0,47500000
Wyoming,731666.0,18000.0,19500000
Connecticut,704420.0,20000.0,100000000
Washington,702175.0,16000.0,36000000
Idaho,684478.0,16000.0,19750000
Florida,638733.0,10000.0,150000000
Oregon,613868.0,19000.0,65000000
Puerto Rico,607345.0,18000.0,19950000
New Hampshire,584064.0,14500.0,19500000
Vermont,557135.0,14000.0,8000000
Arizona,548078.0,10000.0,30600000
Guam,533560.0,126000.0,4800000
New Jersey,526139.0,16000.0,24900000
Virginia,521394.0,12500.0,60000000
Maine,503360.0,26000.0,9000000
Alaska,499686.0,23500.0,3750000
Tennessee,486184.0,16000.0,16500000
Rhode Island,485471.0,15000.0,14000000
Maryland,474853.0,10000.0,19995000
South Carolina,456427.0,19900.0,13900000
Texas,449262.0,13875.0,45000000
Delaware,431561.0,23900.0,4750000
North Carolina,430592.0,15000.0,20500000
South Dakota,425193.0,30000.0,8500000
Georgia,418683.0,10000.0,45250000
New Mexico,405406.0,26500.0,22600000
Minnesota,398067.0,15000.0,10995000
Illinois,364425.0,10000.0,18500000
Pennsylvania,360527.0,12500.0,34000000
Alabama,357258.0,14500.0,12000000
Wisconsin,340177.0,17000.0,39250000
Arkansas,336680.0,15000.0,10500000
Indiana,331965.0,15000.0,30000000
Michigan,329091.0,11990.0,18000000
Louisiana,326057.0,17500.0,14000000
North Dakota,323389.0,20000.0,4999900
Nebraska,322344.0,15900.0,16800000
Missouri,308155.0,14500.0,20000000
Kentucky,302371.0,13900.0,25000000
Mississippi,294461.0,16000.0,6495000
Kansas,291736.0,14500.0,10000000
Oklahoma,287077.0,15000.0,10881300
Iowa,260275.0,13500.0,4900000
West Virginia,258988.0,13650.0,19500000
Ohio,248913.0,14000.0,6900000
